Inference - Gaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_REDS4
quick_test: Gaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> 011-00000055 PSNR=29.857, SSIM=0.8465 pre_time:0.0271s, forward_time:0.481s, post_time:0.872s, total_time:1.38s
> 011-00000056 PSNR=29.911, SSIM=0.8431 pre_time:0.0275s, forward_time:0.471s, post_time:0.905s, total_time:1.4s
> 011-00000057 PSNR=29.951, SSIM=0.8463 pre_time:0.0269s, forward_time:0.455s, post_time:0.873s, total_time:1.36s
> 011-00000058 PSNR=29.791, SSIM=0.839 pre_time:0.0271s, forward_time:0.483s, post_time:0.949s, total_time:1.46s
> 011-00000059 PSNR=29.708, SSIM=0.8341 pre_time:0.0265s, forward_time:0.467s, post_time:0.906s, total_time:1.4s
> 011-00000060 PSNR=29.81, SSIM=0.842 pre_time:0.0283s, forward_time:0.482s, post_time:0.929s, total_time:1.44s
> 011-00000061 PSNR=29.718, SSIM=0.8487 pre_time:0.0269s, forward_time:0.477s, post_time:0.926s, total_time:1.43s
> 011-00000062 PSNR=29.553, SSIM=0.8501 pre_time:0.0279s, forward_time:0.73s, post_time:0.9s, total_time:1.66s
> 011-00000063 PSNR=29.455, SSIM=0.8488 pre_time:0.027s, forward_time:0.484s, post_time:1.01s, total_time:1.52s
> 011-00000064 PSNR=29.518, SSIM=0.846 pre_time:0.0267s, forward_time:0.47s, post_time:0.91s, total_time:1.41s
> 011-00000065 PSNR=29.472, SSIM=0.8414 pre_time:0.0269s, forward_time:0.483s, post_time:0.88s, total_time:1.39s
> 011-00000066 PSNR=29.613, SSIM=0.8431 pre_time:0.0264s, forward_time:0.464s, post_time:0.973s, total_time:1.46s
> 011-00000067 PSNR=29.386, SSIM=0.8314 pre_time:0.0278s, forward_time:0.465s, post_time:0.885s, total_time:1.38s
> 011-00000068 PSNR=29.692, SSIM=0.8286 pre_time:0.0279s, forward_time:0.47s, post_time:0.87s, total_time:1.37s
> 011-00000069 PSNR=29.846, SSIM=0.8323 pre_time:0.0264s, forward_time:0.466s, post_time:0.867s, total_time:1.36s
> 011-00000070 PSNR=29.761, SSIM=0.8306 pre_time:0.0264s, forward_time:0.473s, post_time:0.869s, total_time:1.37s
> 011-00000071 PSNR=29.728, SSIM=0.8269 pre_time:0.0266s, forward_time:0.464s, post_time:0.865s, total_time:1.36s
> 011-00000072 PSNR=29.768, SSIM=0.8252 pre_time:0.0272s, forward_time:0.474s, post_time:0.87s, total_time:1.37s
> 011-00000073 PSNR=29.718, SSIM=0.8224 pre_time:0.0264s, forward_time:0.468s, post_time:0.869s, total_time:1.36s
> 011-00000074 PSNR=29.725, SSIM=0.8246 pre_time:0.0267s, forward_time:0.466s, post_time:0.865s, total_time:1.36s
> 011-00000075 PSNR=29.715, SSIM=0.8285 pre_time:0.0264s, forward_time:0.461s, post_time:0.859s, total_time:1.35s
> 011-00000076 PSNR=29.882, SSIM=0.8352 pre_time:0.0263s, forward_time:0.464s, post_time:0.866s, total_time:1.36s
> 011-00000077 PSNR=30.051, SSIM=0.8409 pre_time:0.0265s, forward_time:0.463s, post_time:0.869s, total_time:1.36s
> 011-00000078 PSNR=30.132, SSIM=0.8407 pre_time:0.0261s, forward_time:0.469s, post_time:0.867s, total_time:1.36s
> 011-00000079 PSNR=29.95, SSIM=0.8337 pre_time:0.0284s, forward_time:0.503s, post_time:0.908s, total_time:1.44s
> 011-00000080 PSNR=29.916, SSIM=0.8272 pre_time:0.0267s, forward_time:0.467s, post_time:0.868s, total_time:1.36s
> 011-00000081 PSNR=29.807, SSIM=0.8223 pre_time:0.0264s, forward_time:0.462s, post_time:0.872s, total_time:1.36s
> 011-00000082 PSNR=29.76, SSIM=0.8183 pre_time:0.0265s, forward_time:0.463s, post_time:0.863s, total_time:1.35s
> 011-00000083 PSNR=29.827, SSIM=0.8229 pre_time:0.0269s, forward_time:0.473s, post_time:0.867s, total_time:1.37s
> 011-00000084 PSNR=29.936, SSIM=0.8304 pre_time:0.0262s, forward_time:0.464s, post_time:0.859s, total_time:1.35s
> 011-00000085 PSNR=29.712, SSIM=0.8225 pre_time:0.0262s, forward_time:0.494s, post_time:0.877s, total_time:1.4s
> 011-00000086 PSNR=29.68, SSIM=0.822 pre_time:0.0265s, forward_time:0.476s, post_time:0.891s, total_time:1.39s
