Inference - NonGaussian_REDS4
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e1r3.pt
result_path: ../infer_results/infer_NonGaussian_REDS4
quick_test: NonGaussian_REDS4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e1r3.pt
> 000-00000078 PSNR=26.748, SSIM=0.7874 pre_time:0.0273s, forward_time:0.515s, post_time:1.83s, total_time:2.38s
> 000-00000079 PSNR=26.659, SSIM=0.7838 pre_time:0.0276s, forward_time:0.519s, post_time:1.82s, total_time:2.36s
> 000-00000080 PSNR=26.718, SSIM=0.7858 pre_time:0.0273s, forward_time:0.463s, post_time:1.7s, total_time:2.19s
> 000-00000081 PSNR=26.717, SSIM=0.7879 pre_time:0.0278s, forward_time:0.521s, post_time:1.84s, total_time:2.39s
> 000-00000082 PSNR=26.675, SSIM=0.7885 pre_time:0.0278s, forward_time:0.51s, post_time:1.86s, total_time:2.4s
> 000-00000083 PSNR=26.696, SSIM=0.7881 pre_time:0.0321s, forward_time:0.556s, post_time:1.86s, total_time:2.45s
> 000-00000084 PSNR=26.753, SSIM=0.7927 pre_time:0.0274s, forward_time:0.597s, post_time:1.8s, total_time:2.43s
> 000-00000085 PSNR=26.69, SSIM=0.7915 pre_time:0.0274s, forward_time:0.537s, post_time:1.82s, total_time:2.38s
> 000-00000086 PSNR=26.668, SSIM=0.7906 pre_time:0.0273s, forward_time:0.456s, post_time:1.77s, total_time:2.26s
> 000-00000087 PSNR=26.647, SSIM=0.7882 pre_time:0.0273s, forward_time:0.461s, post_time:1.74s, total_time:2.22s
> 000-00000088 PSNR=26.555, SSIM=0.7864 pre_time:0.0401s, forward_time:0.47s, post_time:1.74s, total_time:2.25s
> 000-00000089 PSNR=26.596, SSIM=0.7893 pre_time:0.0275s, forward_time:0.481s, post_time:1.73s, total_time:2.24s
> 000-00000090 PSNR=26.621, SSIM=0.7927 pre_time:0.0286s, forward_time:0.518s, post_time:1.89s, total_time:2.43s
> 000-00000091 PSNR=26.612, SSIM=0.7943 pre_time:0.0274s, forward_time:0.457s, post_time:1.72s, total_time:2.2s
> 000-00000092 PSNR=26.657, SSIM=0.7948 pre_time:0.0349s, forward_time:0.465s, post_time:1.76s, total_time:2.26s
> 000-00000093 PSNR=26.536, SSIM=0.7909 pre_time:0.0275s, forward_time:0.474s, post_time:1.77s, total_time:2.27s
> 000-00000094 PSNR=26.592, SSIM=0.7928 pre_time:0.0289s, forward_time:0.474s, post_time:1.78s, total_time:2.28s
> 000-00000095 PSNR=26.637, SSIM=0.7944 pre_time:0.0277s, forward_time:0.526s, post_time:1.92s, total_time:2.47s
> 000-00000096 PSNR=26.828, SSIM=0.8019 pre_time:0.0274s, forward_time:0.521s, post_time:1.94s, total_time:2.49s
> 000-00000097 PSNR=27.01, SSIM=0.8083 pre_time:0.0277s, forward_time:0.515s, post_time:1.95s, total_time:2.49s
> 011-00000002 PSNR=29.871, SSIM=0.8361 pre_time:0.0309s, forward_time:0.486s, post_time:2.24s, total_time:2.76s
> 011-00000003 PSNR=29.934, SSIM=0.841 pre_time:0.0278s, forward_time:0.462s, post_time:2.1s, total_time:2.59s
> 011-00000004 PSNR=30.168, SSIM=0.8536 pre_time:0.0281s, forward_time:0.466s, post_time:2.1s, total_time:2.6s
> 011-00000005 PSNR=29.956, SSIM=0.8489 pre_time:0.0283s, forward_time:0.47s, post_time:2.09s, total_time:2.59s
> 011-00000006 PSNR=29.992, SSIM=0.8499 pre_time:0.0308s, forward_time:0.471s, post_time:2.11s, total_time:2.61s
> 011-00000007 PSNR=29.963, SSIM=0.854 pre_time:0.0289s, forward_time:0.524s, post_time:2.24s, total_time:2.79s
> 011-00000008 PSNR=29.952, SSIM=0.8587 pre_time:0.0288s, forward_time:0.523s, post_time:2.26s, total_time:2.81s
> 011-00000009 PSNR=30.004, SSIM=0.8638 pre_time:0.0286s, forward_time:0.515s, post_time:2.21s, total_time:2.76s
> 011-00000010 PSNR=29.881, SSIM=0.8632 pre_time:0.028s, forward_time:0.512s, post_time:2.23s, total_time:2.77s
> 011-00000011 PSNR=29.871, SSIM=0.8634 pre_time:0.0279s, forward_time:0.518s, post_time:2.25s, total_time:2.8s
> 011-00000012 PSNR=29.907, SSIM=0.8623 pre_time:0.0282s, forward_time:0.467s, post_time:2.14s, total_time:2.64s
> 011-00000013 PSNR=29.915, SSIM=0.8611 pre_time:0.0372s, forward_time:0.468s, post_time:2.11s, total_time:2.62s
> 011-00000014 PSNR=29.918, SSIM=0.8585 pre_time:0.034s, forward_time:0.459s, post_time:2.19s, total_time:2.68s
> 011-00000015 PSNR=29.943, SSIM=0.8562 pre_time:0.0284s, forward_time:0.527s, post_time:2.32s, total_time:2.87s
> 011-00000016 PSNR=29.976, SSIM=0.856 pre_time:0.0278s, forward_time:0.516s, post_time:2.34s, total_time:2.88s
> 011-00000017 PSNR=29.932, SSIM=0.8568 pre_time:0.028s, forward_time:0.519s, post_time:2.26s, total_time:2.81s
> 011-00000018 PSNR=29.926, SSIM=0.8584 pre_time:0.0271s, forward_time:0.478s, post_time:2.16s, total_time:2.67s
> 011-00000019 PSNR=29.908, SSIM=0.8579 pre_time:0.0288s, forward_time:0.515s, post_time:2.3s, total_time:2.85s
> 011-00000020 PSNR=29.898, SSIM=0.8571 pre_time:0.0282s, forward_time:0.516s, post_time:2.32s, total_time:2.86s
> 011-00000021 PSNR=29.914, SSIM=0.859 pre_time:0.0283s, forward_time:0.515s, post_time:2.33s, total_time:2.87s
> 011-00000022 PSNR=29.868, SSIM=0.8617 pre_time:0.0279s, forward_time:0.523s, post_time:2.31s, total_time:2.86s
> 011-00000023 PSNR=29.829, SSIM=0.8625 pre_time:0.0416s, forward_time:0.519s, post_time:2.3s, total_time:2.86s
> 011-00000024 PSNR=29.841, SSIM=0.8619 pre_time:0.0286s, forward_time:0.522s, post_time:2.25s, total_time:2.8s
> 011-00000025 PSNR=29.85, SSIM=0.8598 pre_time:0.0272s, forward_time:0.472s, post_time:2.24s, total_time:2.74s
> 011-00000026 PSNR=29.928, SSIM=0.8556 pre_time:0.0397s, forward_time:0.669s, post_time:2.4s, total_time:3.11s
> 011-00000027 PSNR=29.894, SSIM=0.8531 pre_time:0.0278s, forward_time:0.464s, post_time:2.26s, total_time:2.75s
> 011-00000028 PSNR=29.831, SSIM=0.8505 pre_time:0.0277s, forward_time:0.551s, post_time:2.34s, total_time:2.92s
> 011-00000029 PSNR=29.951, SSIM=0.8483 pre_time:0.0278s, forward_time:0.461s, post_time:2.44s, total_time:2.93s
> 011-00000030 PSNR=30.046, SSIM=0.8498 pre_time:0.0276s, forward_time:0.464s, post_time:2.32s, total_time:2.81s
> 011-00000031 PSNR=29.898, SSIM=0.8508 pre_time:0.0364s, forward_time:0.481s, post_time:2.32s, total_time:2.84s
> 011-00000032 PSNR=29.741, SSIM=0.85 pre_time:0.028s, forward_time:0.516s, post_time:2.34s, total_time:2.89s
