Inference - Gaussian_Vid4
save_image: False
border: False
input_path: ../dataset/Vid4_BlurDown_Gaussian/blurdown_x4
gt_path: ../dataset/Vid4_BlurDown_Gaussian/sharp
model_path: ../pretrain_models/gaussian_e1r3.pt
result_path: ../infer_results/infer_Gaussian_Vid4
quick_test: Gaussian_Vid4
large_model: False
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/gaussian_e1r3.pt
> foliage-00000025 PSNR=23.991, SSIM=0.6955 pre_time:0.0134s, forward_time:0.449s, post_time:0.391s, total_time:0.853s
> foliage-00000026 PSNR=23.751, SSIM=0.682 pre_time:0.0135s, forward_time:0.324s, post_time:0.378s, total_time:0.716s
> foliage-00000027 PSNR=23.924, SSIM=0.6911 pre_time:0.0136s, forward_time:0.254s, post_time:0.375s, total_time:0.643s
> foliage-00000028 PSNR=23.896, SSIM=0.6911 pre_time:0.0134s, forward_time:0.296s, post_time:0.394s, total_time:0.703s
> foliage-00000029 PSNR=23.786, SSIM=0.6875 pre_time:0.0138s, forward_time:0.408s, post_time:0.385s, total_time:0.807s
> foliage-00000030 PSNR=23.977, SSIM=0.6938 pre_time:0.0137s, forward_time:0.253s, post_time:0.373s, total_time:0.64s
> foliage-00000031 PSNR=23.879, SSIM=0.6919 pre_time:0.0133s, forward_time:0.26s, post_time:0.39s, total_time:0.663s
> foliage-00000032 PSNR=23.836, SSIM=0.6888 pre_time:0.0135s, forward_time:0.451s, post_time:0.394s, total_time:0.858s
> foliage-00000033 PSNR=23.957, SSIM=0.6938 pre_time:0.0137s, forward_time:0.324s, post_time:0.378s, total_time:0.715s
> foliage-00000034 PSNR=23.865, SSIM=0.6899 pre_time:0.0135s, forward_time:0.256s, post_time:0.38s, total_time:0.65s
> foliage-00000035 PSNR=23.797, SSIM=0.6862 pre_time:0.0133s, forward_time:0.289s, post_time:0.388s, total_time:0.69s
> foliage-00000036 PSNR=24.01, SSIM=0.6972 pre_time:0.0138s, forward_time:0.411s, post_time:0.384s, total_time:0.809s
> foliage-00000037 PSNR=23.872, SSIM=0.6902 pre_time:0.0136s, forward_time:0.258s, post_time:0.374s, total_time:0.645s
> foliage-00000038 PSNR=23.802, SSIM=0.6876 pre_time:0.0133s, forward_time:0.268s, post_time:0.394s, total_time:0.675s
> foliage-00000039 PSNR=24.135, SSIM=0.7029 pre_time:0.0136s, forward_time:0.462s, post_time:0.402s, total_time:0.878s
> foliage-00000040 PSNR=23.846, SSIM=0.6901 pre_time:0.0136s, forward_time:0.325s, post_time:0.38s, total_time:0.719s
> foliage-00000041 PSNR=23.767, SSIM=0.6863 pre_time:0.0136s, forward_time:0.256s, post_time:0.379s, total_time:0.648s
> foliage-00000042 PSNR=23.797, SSIM=0.6889 pre_time:0.0134s, forward_time:0.282s, post_time:0.404s, total_time:0.699s
> foliage-00000043 PSNR=23.673, SSIM=0.6837 pre_time:0.0138s, forward_time:0.404s, post_time:0.383s, total_time:0.801s
> foliage-00000044 PSNR=23.618, SSIM=0.6824 pre_time:0.0138s, forward_time:0.252s, post_time:0.374s, total_time:0.64s
> foliage-00000045 PSNR=23.729, SSIM=0.6872 pre_time:0.0133s, forward_time:0.255s, post_time:0.463s, total_time:0.731s
> foliage-00000046 PSNR=23.573, SSIM=0.6814 pre_time:0.0173s, forward_time:0.464s, post_time:0.468s, total_time:0.949s
> walk-00000002 PSNR=27.377, SSIM=0.8532 pre_time:0.0162s, forward_time:0.348s, post_time:0.459s, total_time:0.824s
> walk-00000003 PSNR=27.117, SSIM=0.8463 pre_time:0.0179s, forward_time:0.291s, post_time:0.452s, total_time:0.761s
> walk-00000004 PSNR=27.217, SSIM=0.8477 pre_time:0.0172s, forward_time:0.276s, post_time:0.46s, total_time:0.753s
> walk-00000005 PSNR=27.299, SSIM=0.8468 pre_time:0.0183s, forward_time:0.401s, post_time:0.464s, total_time:0.883s
> walk-00000006 PSNR=27.162, SSIM=0.8429 pre_time:0.0161s, forward_time:0.391s, post_time:0.457s, total_time:0.864s
> walk-00000007 PSNR=27.284, SSIM=0.8462 pre_time:0.0163s, forward_time:0.28s, post_time:0.463s, total_time:0.759s
> walk-00000008 PSNR=27.416, SSIM=0.8505 pre_time:0.0164s, forward_time:0.277s, post_time:0.455s, total_time:0.749s
> walk-00000009 PSNR=27.272, SSIM=0.8491 pre_time:0.0168s, forward_time:0.412s, post_time:0.466s, total_time:0.895s
