Inference - NonGaussian_REDS4_L
save_image: False
border: False
input_path: ../dataset/REDS4_BlurDown_NonGaussian/blurdown_x4
gt_path: ../dataset/REDS4_BlurDown_NonGaussian/sharp
model_path: ../pretrain_models/kg_e3r20.pt
result_path: ../infer_results/infer_NonGaussian_REDS4_L
quick_test: NonGaussian_REDS4_L
large_model: True
n_seq: 5
scale: 4
size_must_mode: 1
device: cuda
Loading model from ../pretrain_models/kg_e3r20.pt
> 011-00000045 PSNR=30.757, SSIM=0.8692 pre_time:0.0327s, forward_time:0.652s, post_time:1.23s, total_time:1.91s
> 011-00000046 PSNR=31.104, SSIM=0.8707 pre_time:0.0387s, forward_time:0.824s, post_time:1.19s, total_time:2.05s
> 011-00000047 PSNR=31.071, SSIM=0.8715 pre_time:0.0381s, forward_time:0.791s, post_time:1.22s, total_time:2.05s
> 011-00000048 PSNR=31.052, SSIM=0.8751 pre_time:0.032s, forward_time:0.767s, post_time:1.35s, total_time:2.15s
> 011-00000049 PSNR=31.008, SSIM=0.8771 pre_time:0.0482s, forward_time:0.782s, post_time:1.43s, total_time:2.26s
> 011-00000050 PSNR=31.119, SSIM=0.883 pre_time:0.0368s, forward_time:1.25s, post_time:2.51s, total_time:3.8s
> 011-00000051 PSNR=31.136, SSIM=0.8858 pre_time:0.0609s, forward_time:1.52s, post_time:1.77s, total_time:3.34s
> 011-00000052 PSNR=30.989, SSIM=0.8857 pre_time:0.066s, forward_time:1.18s, post_time:1.59s, total_time:2.84s
> 011-00000053 PSNR=31.075, SSIM=0.8833 pre_time:0.0335s, forward_time:1.08s, post_time:1.69s, total_time:2.8s
> 011-00000054 PSNR=31.133, SSIM=0.8824 pre_time:0.0333s, forward_time:0.982s, post_time:1.32s, total_time:2.34s
> 011-00000055 PSNR=31.154, SSIM=0.8789 pre_time:0.0361s, forward_time:1.24s, post_time:1.85s, total_time:3.13s
> 011-00000056 PSNR=31.12, SSIM=0.8744 pre_time:0.0438s, forward_time:0.789s, post_time:1.75s, total_time:2.58s
> 011-00000057 PSNR=31.184, SSIM=0.8786 pre_time:0.0413s, forward_time:0.697s, post_time:1.84s, total_time:2.58s
> 011-00000058 PSNR=30.987, SSIM=0.8718 pre_time:0.0509s, forward_time:1.05s, post_time:1.71s, total_time:2.81s
> 011-00000059 PSNR=30.885, SSIM=0.8668 pre_time:0.032s, forward_time:0.802s, post_time:1.64s, total_time:2.48s
> 011-00000060 PSNR=31.047, SSIM=0.874 pre_time:0.0371s, forward_time:0.698s, post_time:1.72s, total_time:2.45s
> 011-00000061 PSNR=31.054, SSIM=0.8807 pre_time:0.0452s, forward_time:0.889s, post_time:1.52s, total_time:2.45s
> 011-00000062 PSNR=30.964, SSIM=0.8827 pre_time:0.0334s, forward_time:0.63s, post_time:1.72s, total_time:2.38s
